bea_ind_code,Industry,major_industry,mettr_c_base,mettr_c_d_base,mettr_c_e_base,mettr_c_reform,mettr_c_d_reform,mettr_c_e_reform,assets_c
5120,MotionåÊpictureåÊandåÊsoundåÊrecordingåÊindustries,MotionåÊpictureåÊandåÊsoundåÊrecordingåÊindustries,0.352720674,-0.119094392,0.430049049,0.352722134,-0.119091349,0.430050326,7903629497
5130,BroadcastingåÊandåÊtelecommunications,BroadcastingåÊandåÊtelecommunications,0.345692183,-0.130304452,0.423867559,0.34680104,-0.128145916,0.424853044,37781239807
5140,InformationåÊandåÊdataåÊprocessingåÊservices,InformationåÊandåÊdataåÊprocessingåÊservices,0.312721896,-0.169807854,0.393672435,0.322592982,-0.14769566,0.40200613,4511237655
5220,CreditåÊintermediationåÊandåÊrelatedåÊactivities,CreditåÊintermediationåÊandåÊrelatedåÊactivities,0.350657439,-0.12129127,0.428159975,0.351111536,-0.120254504,0.428544011,18747534914
5230,"Securities,åÊcommodityåÊcontracts,åÊandåÊinvestments","Securities,åÊcommodityåÊcontracts,åÊandåÊinvestments",0.352725109,-0.119080777,0.430052603,0.35272687,-0.119076711,0.430054087,12964205961
5240,InsuranceåÊcarriersåÊandåÊrelatedåÊactivities,InsuranceåÊcarriersåÊandåÊrelatedåÊactivities,0.352592631,-0.119145549,0.429927104,0.352629448,-0.119059488,0.429957976,11602968591
5250,"Funds,åÊtrusts,åÊandåÊotheråÊfinancialåÊvehicles","Funds,åÊtrusts,åÊandåÊotheråÊfinancialåÊvehicles",0.352719619,-0.118775274,0.430034358,0.352724462,-0.118764467,0.430038491,4948031462
5310,RealåÊestate,RealåÊestate,0.352629961,-0.119248957,0.42997632,0.352629975,-0.119248929,0.429976333,8.01E+11
5320,RentalåÊandåÊleasingåÊservicesåÊandåÊlessorsåÊofåÊintangible assets,RentalåÊandåÊleasingåÊservicesåÊandåÊlessorsåÊofåÊintangible assets,0.181176639,-0.364114404,0.276083821,0.217191116,-0.289893704,0.307057872,94922307659
5411,LegalåÊservices,LegalåÊservices,0.352722619,-0.119085136,0.430050403,0.352725095,-0.119079412,0.430052488,962862341.2
5412,"MiscellaneousåÊprofessional,åÊscientific,åÊandåÊtechnical services","MiscellaneousåÊprofessional,åÊscientific,åÊandåÊtechnical services",0.352705999,-0.119107546,0.430035345,0.352712026,-0.119093625,0.430040422,9024744786
5415,ComputeråÊsystemsåÊdesignåÊandåÊrelatedåÊservices,ComputeråÊsystemsåÊdesignåÊandåÊrelatedåÊservices,0.352674791,-0.119123832,0.430005529,0.352694306,-0.119077638,0.430021808,1374891019
5500,ManagementåÊofåÊcompaniesåÊandåÊenterprises,ManagementåÊofåÊcompaniesåÊandåÊenterprises,0.352308756,-0.119211458,0.429656239,0.35240528,-0.118988011,0.429737471,90930689573
5610,AdministrativeåÊandåÊsupportåÊservices,AdministrativeåÊandåÊsupportåÊservices,0.35271661,-0.119097471,0.430045181,0.352719972,-0.119089729,0.430048016,5897452906
5620,WasteåÊmanagementåÊandåÊremediationåÊservices,WasteåÊmanagementåÊandåÊremediationåÊservices,0.352698313,-0.119130748,0.430029485,0.352704554,-0.119118706,0.430035029,9627063296
6100,Educational services,Educational services,0.35268654,-0.119112936,0.4300187,0.352692012,-0.119100633,0.430023356,3414772377
6210,AmbulatoryåÊhealthåÊcareåÊservices,AmbulatoryåÊhealthåÊcareåÊservices,0.3526804,-0.119128956,0.430012062,0.3526913,-0.11910432,0.430021319,4368347358
622H,Hospitals,Health care and social assistance,0.352638943,-0.119170643,0.429976109,0.352653866,-0.119137007,0.429988796,18080790761
6230,NursingåÊandåÊresidentialåÊcareåÊfacilities,NursingåÊandåÊresidentialåÊcareåÊfacilities,0.29897435,-0.167506876,0.381584295,0.307414398,-0.150339472,0.388855303,3468676.374
6240,Social assistance,Health care and social assistance,0.352726848,-0.119083487,0.430054487,0.3527276,-0.119081853,0.430055135,2168573768
711A,"PerformingåÊarts,åÊspectatoråÊsports,åÊmuseums,åÊandåÊrelated activities","PerformingåÊarts,åÊspectatoråÊsports,åÊmuseums,åÊandåÊrelated activities",0.35083803,-0.12187051,0.428386339,0.351033925,-0.121483563,0.428560476,6022808733
7130,"Amusements,åÊgambling,åÊandåÊrecreationåÊindustries","Amusements,åÊgambling,åÊandåÊrecreationåÊindustries",0.351076813,-0.121642015,0.42859562,0.351246184,-0.121305954,0.428746144,22318494699
7210,Accommodation,Accommodation,0.352732084,-0.119076184,0.430059117,0.352732185,-0.119075958,0.430059203,1.02E+11
7220,FoodåÊservicesåÊandåÊdrinkingåÊplaces,FoodåÊservicesåÊandåÊdrinkingåÊplaces,0.351190122,-0.120180136,0.428623071,0.351522732,-0.119438008,0.428906718,39598672466
8100,"OtheråÊservices,åÊexceptåÊgovernment","OtheråÊservices,åÊexceptåÊgovernment",0.352715255,-0.119106513,0.430044377,0.352715531,-0.119105913,0.430044614,22666019837
