,bea_ind_code,delta_c,z_c,z_c_d,z_c_e,rho_c,rho_c_d,rho_c_e,metr_c,metr_c_d,metr_c_e,mettr_c,mettr_c_d,mettr_c_e,assets_c,delta_nc,z_nc,z_nc_d,z_nc_e,rho_nc,rho_nc_d,rho_nc_e,metr_nc,metr_nc_d,metr_nc_e,mettr_nc,mettr_nc_d,mettr_nc_e,assets_nc,Industry,major_industry
0,110C,0.0747548416111,0.69163521969,0.780794448226,0.656418738338,0.0620612500794,0.0284439380149,0.0783848440266,0.137626136574,-0.546902541308,0.260061039602,0.263270525542,-0.223335735577,0.351099859445,452704970.541,0.0747548416111,0.702676472981,0.775508648693,0.676737746127,0.0560633918947,0.0294437048975,0.0671984820833,0.12824762959,-0.494377156445,0.243079088555,0.192146775521,-0.0748269213927,0.243079088555,4.90964295029e+11,Farms,"Agriculture, forestry, fishing, and hunting"
1,113F,0.0954528970237,0.701457607671,0.778541184297,0.671709531515,0.0626716199252,0.029234490142,0.0787870815951,0.146024946158,-0.505071570814,0.263838705207,0.270445662491,-0.190254581663,0.354412737767,45490997.6612,0.0954528970237,0.710838579637,0.773865432409,0.688846846563,0.0566399110936,0.0301547659932,0.067655649747,0.137120912908,-0.459139162611,0.248193809439,0.200369650254,-0.049482085074,0.248193809439,57375509002.3,"Forestry, fishing, and related activities","Forestry, fishing, and related activities"
2,2110,0.0741758615478,0.832408536988,0.883686381916,0.810755604905,0.0558846348652,0.0254093392796,0.0705699010949,0.0423127908225,-0.731646758531,0.178119862716,0.181843949318,-0.36943686143,0.279240362859,1658905854.42,0.0741758615478,0.839009565073,0.880757258667,0.823365284776,0.0508371945397,0.0265303489015,0.0609403701897,0.0386291922675,-0.658478000549,0.165349075697,0.109097338524,-0.192856030915,0.165349075697,1.42751309415e+12,Oil and gas extraction,Oil and gas extraction
3,2120,0.0690656031,0.72939199199,0.801579998553,0.701088010914,0.0599560033281,0.0275827105121,0.0755773912986,0.107345436167,-0.595202182204,0.232574728985,0.237401600888,-0.261532503083,0.326995343022,51648982.7382,0.0690656031,0.738261581513,0.797242216655,0.717427213444,0.0543040844476,0.0286002126495,0.0650026339152,0.100005178716,-0.538450099626,0.217509610878,0.165974486485,-0.106526272277,0.217509610878,1.81883351017e+11,"Mining, except oil and gas","Mining, except oil and gas"
4,2130,0.101137047782,0.787538603415,0.85099590759,0.761266621687,0.060610558534,0.0282452530247,0.0762083629077,0.116985533635,-0.557783885366,0.238928671513,0.245637175089,-0.231941020449,0.33256752454,92787617.2181,0.101137047782,0.795613806304,0.847329437717,0.77652508344,0.0549141149063,0.0292116206379,0.0656004639625,0.11000305002,-0.506249877245,0.224640601089,0.175239517296,-0.083366345253,0.224640601089,1.34687212383e+11,Support activities for mining,Support activities for mining
5,2200,0.0427153448638,0.722605325894,0.807759327887,0.687586808339,0.0584094500591,0.0261852331607,0.0741334575482,0.0837099143056,-0.680336383867,0.217627210193,0.217209679103,-0.328859117677,0.313886900888,4900983641.22,0.0427153448638,0.733416476363,0.802841789059,0.707892349728,0.0528908678459,0.0273079590905,0.0636282875501,0.075957783113,-0.611251864489,0.200608121565,0.143689756627,-0.158888754173,0.200608121565,2.10048101636e+12,Utilities,Utilities
6,2300,0.118937369515,0.730769161074,0.800658459624,0.703612059041,0.062512878519,0.0292936317913,0.0784924031362,0.143856413783,-0.502032944003,0.2610749871,0.268593076524,-0.187851546782,0.351989055323,366064426.118,0.118937369515,0.739307157586,0.796433058821,0.719272968439,0.0565313994815,0.0302029696051,0.067465298163,0.135464622745,-0.456810392332,0.246072607827,0.198834765585,-0.0478071230474,0.246072607827,2.76677935574e+11,Construction,Construction
7,311A,0.0778154381099,0.608340952494,0.70049386211,0.575200414257,0.0662121441289,0.0311740836309,0.0830464277922,0.19168906695,-0.411428817635,0.301595486501,0.309456705311,-0.11619915588,0.387524091542,576337400.762,0.0778154381099,0.619068901936,0.694645736914,0.594130143052,0.0597062503683,0.0320197861048,0.071197563045,0.181435871857,-0.374150341166,0.285594420217,0.241436338106,0.0116459058841,0.285594420217,2.96506662599e+11,"Food, beverage, and tobacco products","Food, beverage, and tobacco products"
8,313T,0.0624443144865,0.53307164512,0.637094260357,0.497143916364,0.0679371115834,0.0319834787717,0.0851996449068,0.212212607328,-0.37571026323,0.319245989071,0.326990048745,-0.0879518792352,0.403002954274,273689932.195,0.0624443144865,0.544886637838,0.630338725907,0.517557088508,0.0611679606082,0.0328029242193,0.0729375071037,0.200996824293,-0.341343829769,0.302636759522,0.259563479523,0.0352419047214,0.302636759522,37858310067.8,Textile mills and textile product mills,Textile mills and textile product mills
9,315A,0.0552801709293,0.480420706789,0.592913559955,0.442467710474,0.0690781135618,0.0324589934113,0.0866607011083,0.225224933913,-0.355556515338,0.330723162192,0.338106531901,-0.072013706439,0.413068026732,251395213.924,0.0552801709293,0.493019613206,0.585515510013,0.463962103769,0.062125574385,0.0332681447706,0.0741017267274,0.213312790083,-0.322586525442,0.313593102987,0.270976689299,0.0487330475539,0.313593102987,15427604786.1,Apparel and leather and allied products,Apparel and leather and allied products
10,3210,0.067672386556,0.547390378283,0.648711773115,0.51213152197,0.0676113226004,0.0318732729309,0.0847689652423,0.208416609208,-0.380466954095,0.31578733049,0.32374711222,-0.0917136093781,0.399969833761,404254907.532,0.067672386556,0.558951244779,0.642159319136,0.532184705801,0.0608896297301,0.0326880856183,0.0725901106443,0.197344523295,-0.346056190434,0.299299369366,0.256178890919,0.0318525514484,0.299299369366,36816745092.5,Wood products,Wood products
11,3220,0.0818026805348,0.644154512502,0.731012306862,0.612108398522,0.0650691359071,0.0305783371161,0.081655442628,0.177490230139,-0.438927167062,0.289698296485,0.297326581677,-0.137945654205,0.37709067921,510480348.788,0.0818026805348,0.654428579357,0.725586248611,0.630471216581,0.0587253424705,0.031446815515,0.0700537494552,0.16776313732,-0.399187780365,0.273929850981,0.228765810261,-0.00636220778275,0.273929850981,1.07266519651e+11,Paper products,Paper products
12,3230,0.0893376669853,0.628481511036,0.71698566619,0.596356041516,0.065983811736,0.0311152772089,0.0827326146702,0.188891963166,-0.414096352238,0.298946367993,0.307067128251,-0.118308720198,0.385200908868,1027866758.83,0.0893376669853,0.638843184192,0.711399242261,0.614728252824,0.0595197421896,0.0319584970524,0.0709564179642,0.178870858988,-0.376785645702,0.283166515932,0.239059339789,0.00975046988266,0.283166515932,43961133241.2,Printing and related support activities,Printing and related support activities
