base_sin,reform_sin,reform_2_sin,base_mar,reform_mar,reform_2_mar,base_HH,reform_HH,reform_2_HH
0.00771274,0.002194029,0.00771274,0.003064444,-0.00358226,0.003064444,0.024802512,0.020897485,0.024802512
-0.00831042,-0.00831042,-0.00831042,-0.017015263,-0.018547912,-0.017015263,-0.218159547,-0.218159547,-0.218159547
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
-0.071063632,-0.071063632,-0.071063632,-0.071063632,-0.071063632,-0.071063632,0,0,0
-0.005932213,-0.005932213,-0.005932213,-0.072110619,-0.072110619,-0.072110619,-0.343324773,-0.343324773,-0.343324773
-0.027409889,-0.027409889,-0.027409889,-0.018603827,-0.018603827,-0.018603827,-0.321777465,-0.321777465,-0.321777465
-0.020256974,-0.02022539,-0.020256974,-0.017196415,-0.017196415,-0.017196415,-0.337894814,-0.337894814,-0.337894814
-0.02344284,-0.023381568,-0.02344284,-0.073077765,-0.073077765,-0.073077765,-0.307575482,-0.307575482,-0.307575482
-0.023451821,-0.023436078,-0.023451821,-0.088722327,-0.088722327,-0.088722327,-0.30596456,-0.30596456,-0.30596456
-0.027231775,-0.027214751,-0.027231775,-0.263257707,-0.263257707,-0.263257707,-0.285879712,-0.285879712,-0.285879712
-0.026624961,-0.026617825,-0.026624961,-0.070721437,-0.070721437,-0.070721437,-0.387662098,-0.387662098,-0.387662098
-0.024959067,-0.024952261,-0.024959067,-0.174628909,-0.179820869,-0.174628909,-0.420358991,-0.420358991,-0.420358991
-0.029148987,-0.029139851,-0.029148987,-0.189255088,-0.189255088,-0.189255088,-0.409972709,-0.409972709,-0.409972709
-0.028635007,-0.028635007,-0.028635007,-0.128233551,-0.128233551,-0.128233551,-0.435064524,-0.435064524,-0.435064524
-0.035666022,-0.035666022,-0.035666022,-0.152353541,-0.152353541,-0.152353541,-0.438836633,-0.438836633,-0.438836633
-0.040717498,-0.040714493,-0.040717498,-0.170788596,-0.170788596,-0.170788596,-0.394991624,-0.394991624,-0.394991624
-0.022479531,-0.037241492,-0.022479531,-0.168064521,-0.168064521,-0.168064521,-0.424543717,-0.424543717,-0.424543717
0.008761136,-0.03194246,0.008761136,-0.091390096,-0.091390096,-0.091390096,-0.387684086,-0.387684086,-0.387684086
0.008269739,-0.029295706,0.008269739,-0.204578694,-0.204578694,-0.204578694,-0.406819746,-0.406819746,-0.406819746
0.010006229,-0.022660627,0.010006229,-0.137936035,-0.137936035,-0.137936035,-0.424029125,-0.424029125,-0.424029125
0.026891268,-0.004805742,0.026891268,-0.166128866,-0.166128866,-0.166128866,-0.437304606,-0.437304606,-0.437304606
0.026979877,-0.000539365,0.026979877,-0.190393478,-0.193962171,-0.190393478,-0.348966569,-0.348966569,-0.348966569
0.054597667,0.008783264,0.054597667,-0.073474942,-0.073536095,-0.073474942,-0.185548781,-0.185548781,-0.185548781
0.084752786,0.013539342,0.084752786,-0.108447159,-0.108982867,-0.108447159,-0.205556536,-0.205556536,-0.205556536
0.080265949,0.012075234,0.080265949,-0.1280939,-0.1280939,-0.1280939,-0.211450699,-0.211450699,-0.211450699
0.087982615,0.016821477,0.087982615,-0.132516854,-0.132880541,-0.132516854,-0.139465102,-0.139465102,-0.139465102
0.089557316,0.014742276,0.089557316,-0.118589584,-0.118589584,-0.118589584,-0.154017304,-0.154017304,-0.154017304
0.100715254,0.02585335,0.100715254,-0.071678197,-0.071678197,-0.071678197,-0.106662784,-0.109854803,-0.106662784
0.097915556,0.035560691,0.097915556,-0.056598329,-0.05664948,-0.056598329,-0.057349162,-0.045777128,-0.057349162
0.074332095,0.07941705,0.074332095,-0.035826585,-0.035826585,-0.035826585,-0.065227985,-0.006836095,-0.065227985
0.079851,0.087265764,0.079851,-0.016301951,-0.016301951,-0.016301951,-0.05931242,0.045021517,-0.05931242
0.084987287,0.092083154,0.084987287,-0.012012141,-0.012012141,-0.012012141,-0.027606875,0.06143125,-0.027606875
0.084552859,0.096302577,0.084552859,-0.011873086,-0.011893082,-0.011873086,-0.006555692,0.063506237,-0.006555692
0.086344481,0.098318771,0.086344481,0.009012132,0.009012132,0.009012132,0.082903877,0.139221933,0.082903877
0.100244064,0.107881114,0.100244064,0.018969341,0.018969341,0.018969341,0.162483583,0.221787415,0.162483583
0.120073251,0.110215842,0.120073251,0.003719507,0.003719507,0.003719507,0.159995682,0.23828634,0.159995682
0.12769102,0.105768286,0.12769102,-0.009722171,-0.020387643,-0.009722171,0.154440274,0.236466858,0.154440274
0.134246839,0.112014723,0.134246839,0.006680654,-0.019711237,0.006680654,0.182348297,0.239421956,0.182348297
0.132229647,0.112022294,0.132229647,0.022927565,0.003050594,0.022927565,0.18950672,0.240538669,0.18950672
0.136929192,0.113420701,0.136929192,0.080530436,0.040644514,0.080530436,0.192166157,0.235258023,0.192166157
0.143619108,0.117932675,0.143619108,0.117072008,0.073369933,0.117072008,0.206263974,0.247384714,0.206263974
0.136742176,0.110090641,0.136742176,0.131608632,0.086694682,0.131608632,0.224421011,0.248001381,0.224421011
0.143790576,0.112490536,0.143790576,0.13840323,0.093906925,0.13840323,0.218243353,0.245026022,0.218243353
0.146665549,0.113240179,0.146665549,0.125476203,0.071056184,0.125476203,0.212566271,0.235029596,0.212566271
0.146218233,0.113508808,0.146218233,0.141905465,0.077781705,0.141905465,0.217710932,0.241242681,0.217710932
0.143122732,0.111456018,0.143122732,0.166290606,0.149015315,0.166290606,0.225284124,0.247463769,0.225284124
0.143999503,0.115525907,0.143999503,0.155865113,0.172248808,0.155865113,0.239799625,0.247653413,0.239799625
0.143575025,0.115483504,0.143575025,0.144817931,0.15994527,0.144817931,0.244627285,0.250722956,0.244627285
0.142454584,0.115070691,0.142454584,0.171679851,0.188421712,0.171679851,0.245958541,0.250785281,0.245958541
0.14705255,0.119147462,0.14705255,0.171803811,0.185960549,0.171803811,0.245616188,0.244297804,0.245616188
0.147637703,0.120167201,0.147637703,0.170788516,0.187176043,0.170788516,0.265058324,0.250164412,0.265058324
0.145348136,0.116679791,0.145348136,0.169309595,0.182575652,0.169309595,0.260494459,0.249297243,0.260494459
0.145998866,0.118156528,0.145998866,0.182522861,0.194771028,0.182522861,0.257363092,0.243361034,0.257363092
0.1424651,0.114416568,0.1424651,0.183039409,0.183766299,0.183039409,0.209185348,0.188512692,0.209185348
0.140943172,0.112412253,0.140943172,0.183494212,0.186098191,0.183494212,0.215070449,0.192133947,0.215070449
0.141825474,0.113708187,0.141825474,0.195341072,0.191503156,0.195341072,0.206804166,0.183194451,0.206804166
0.140993391,0.112548783,0.140993391,0.196573995,0.188200361,0.196573995,0.194268557,0.169716716,0.194268557
0.140789585,0.112708216,0.140789585,0.166867841,0.159177651,0.166867841,0.149065382,0.126508209,0.149065382
0.146501096,0.113233597,0.146501096,0.177755622,0.16828681,0.177755622,0.146330771,0.122691185,0.146330771
0.203368205,0.112926901,0.203368205,0.185024457,0.170927516,0.185024457,0.137370912,0.111646195,0.137370912
0.212087205,0.112620077,0.212087205,0.158449862,0.138682419,0.158449862,0.135876585,0.111904347,0.135876585
0.209320959,0.212060346,0.209320959,0.149235473,0.126953967,0.149235473,0.13810807,0.212510316,0.13810807
0.215281057,0.221406337,0.215281057,0.135472552,0.112374147,0.135472552,0.137498729,0.215781989,0.137498729
0.224857334,0.229202143,0.224857334,0.13451197,0.111649142,0.13451197,0.141793218,0.22377711,0.141793218
0.224200248,0.230358603,0.224200248,0.132285552,0.108160233,0.132285552,0.141737587,0.231836505,0.141737587
0.225061429,0.227283903,0.225061429,0.137144264,0.113184374,0.137144264,0.142892115,0.2290936,0.142892115
0.22558269,0.22953077,0.22558269,0.138828596,0.110988834,0.138828596,0.145510979,0.232271095,0.145510979
0.232803602,0.233437713,0.232803602,0.138446852,0.111415409,0.138446852,0.141102,0.228856942,0.141102
0.22785106,0.227469886,0.22785106,0.137976773,0.111084257,0.137976773,0.143898798,0.228291902,0.143898798
0.226633619,0.227666488,0.226633619,0.137041339,0.108901946,0.137041339,0.175498916,0.229390804,0.175498916
0.231433539,0.232164693,0.231433539,0.135838973,0.10823724,0.135838973,0.174643064,0.227190684,0.174643064
0.232278716,0.231779947,0.232278716,0.138317299,0.111804785,0.138317299,0.205564306,0.24291216,0.205564306
0.232155789,0.232446027,0.232155789,0.136466699,0.107840763,0.136466699,0.230732167,0.257691915,0.230732167
0.235924081,0.236054552,0.235924081,0.137517528,0.109499654,0.137517528,0.257464609,0.277088451,0.257464609
0.235923358,0.235657107,0.235923358,0.136312179,0.107577679,0.136312179,0.277891683,0.288561924,0.277891683
0.240383093,0.239979426,0.240383093,0.136934955,0.109307906,0.136934955,0.2828332,0.29156601,0.2828332
0.236503746,0.235786156,0.236503746,0.136071544,0.107309661,0.136071544,0.272926332,0.280691315,0.272926332
0.23496528,0.23442174,0.23496528,0.136976924,0.108671517,0.136976924,0.252059462,0.252267327,0.252059462
0.232538283,0.232598576,0.232538283,0.145755519,0.106942443,0.145755519,0.23646735,0.241083436,0.23646735
0.235880636,0.232595948,0.235880636,0.165027919,0.107629172,0.165027919,0.234280548,0.237100357,0.234280548
0.240727702,0.23190686,0.240727702,0.181806584,0.189757742,0.181806584,0.241893508,0.242270541,0.241893508
0.245909276,0.234067305,0.245909276,0.209707059,0.234758885,0.209707059,0.239774843,0.241142483,0.239774843
0.247388725,0.233109237,0.247388725,0.23424846,0.248907153,0.23424846,0.238517212,0.23908133,0.238517212
0.254653838,0.234773629,0.254653838,0.242071918,0.251359518,0.242071918,0.237273817,0.234591257,0.237273817
0.266603986,0.258268274,0.266603986,0.245467812,0.25190015,0.245467812,0.247264261,0.261536435,0.247264261
0.272793275,0.28400359,0.272793275,0.238536083,0.242332208,0.238536083,0.248952001,0.280916486,0.248952001
0.276314644,0.297788943,0.276314644,0.244454858,0.245010896,0.244454858,0.25921922,0.295810913,0.25921922
0.276028981,0.309706162,0.276028981,0.244087907,0.243896954,0.244087907,0.273054792,0.3066375,0.273054792
0.277668195,0.31418871,0.277668195,0.23576829,0.235735311,0.23576829,0.272807525,0.310829037,0.272807525
0.279320927,0.318291967,0.279320927,0.258113235,0.256649066,0.258113235,0.294641653,0.317334601,0.294641653
0.281484121,0.323998187,0.281484121,0.249597238,0.243135677,0.249597238,0.31319193,0.31722066,0.31319193
0.29873408,0.323854013,0.29873408,0.257260219,0.235607436,0.257260219,0.31634454,0.325315461,0.31634454
0.322992339,0.323413986,0.323222525,0.277449657,0.235793808,0.277449657,0.331672154,0.323775996,0.331672154
0.339816984,0.329934345,0.340732542,0.317602364,0.2862571,0.317617813,0.33601817,0.327995252,0.33601817
0.320280003,0.328894182,0.321479653,0.33946861,0.322838823,0.339630911,0.311685778,0.320702616,0.311306877
0.384847946,0.327927148,0.391182918,0.370481023,0.324340619,0.375164377,0.37858068,0.321626307,0.386913645
